Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-acme.fsh.ig.example.json	1406	-	0	0	0	0	0	0	5	211	0	0	0	0	0	0	0	0	0	0	70	58	0	0	0	2	0	1
fsh-generated/resources/Patient-EveAnyperson.json	460	15	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	15	21	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	708	13	0	212	0	0	1	0	1	98	0	0	1	0	0	0	0	3	0	0	287	1113	0	0	0	15	0	1
